Algorithm,Level,Status,Time Taken (ms),Memory Used (bytes)
Backtracking with MRV,MEDIUM,Solved,233,69992
Backtracking with MRV,MEDIUM,Solved,349,69992
Backtracking with MRV,MEDIUM,Solved,346,69992
Backtracking with MRV,MEDIUM,Solved,249,69992
Backtracking with MRV,MEDIUM,Solved,132,69992
Backtracking with MRV,MEDIUM,Solved,123,69992
Backtracking with MRV,MEDIUM,Solved,224,69992
Backtracking with MRV,MEDIUM,Solved,224,69992
Backtracking with MRV,MEDIUM,Solved,122,69992
Backtracking with MRV,MEDIUM,Solved,135,69992
Backtracking with MRV,MEDIUM,Solved,236,69992
Backtracking with MRV,MEDIUM,Solved,140,69992
Backtracking with MRV,MEDIUM,Solved,255,69992
Backtracking with MRV,MEDIUM,Solved,135,69992
Backtracking with MRV,HARD,Solved,174,69992
Backtracking with MRV,HARD,Solved,171,69992
Backtracking with MRV,HARD,Solved,285,69992
Backtracking with MRV,HARD,Solved,215,69992
Backtracking with MRV,HARD,Solved,271,69992
Backtracking with MRV,HARD,Solved,259,69992
Backtracking with MRV,HARD,Solved,286,69992
Backtracking with MRV,HARD,Solved,213,69992
Backtracking with MRV,HARD,Solved,174,69992
Backtracking with MRV,HARD,Solved,182,69992
Backtracking with MRV,HARD,Solved,176,69992
Backtracking with MRV,HARD,Solved,192,69992
Backtracking with MRV,HARD,Solved,289,69992
Backtracking with MRV,HARD,Solved,231,69992
Backtracking with MRV,HARD,Solved,345,69992
Backtracking with MRV,EXTREME,Solved,365,69992
Backtracking with MRV,EXTREME,Solved,4039,69992
Backtracking with MRV,EXTREME,Solved,689,69992
Backtracking with MRV,EXTREME,Solved,2149,69992
Backtracking with MRV,EXTREME,Solved,245,69992
Backtracking with MRV,EXTREME,Solved,290,69992
Dancing Links,EASY,Solved,1059,0
Dancing Links,EASY,Solved,1015,343808
Dancing Links,EASY,Solved,1082,343992
Dancing Links,EASY,Solved,1018,343808
Dancing Links,EASY,Solved,1082,344232
Dancing Links,EASY,Solved,1042,343808
Dancing Links,EASY,Solved,894,344088
Dancing Links,EASY,Solved,932,343792
Dancing Links,EASY,Solved,885,343880
Dancing Links,EASY,Solved,908,343808
Dancing Links,EASY,Unsolved,830,343808
Dancing Links,EASY,Solved,935,343992
Dancing Links,EASY,Solved,889,343808
Dancing Links,EASY,Solved,914,343808
Dancing Links,EASY,Solved,876,344088
Dancing Links,MEDIUM,Solved,883,343808
Dancing Links,MEDIUM,Solved,882,343808
Dancing Links,MEDIUM,Solved,887,343808
Dancing Links,MEDIUM,Solved,881,343808
Dancing Links,MEDIUM,Solved,891,343808
